COLLCODE,COLL_NAME
1136,VEDHANTHA INSTITUTE OF TECHNOLOGY
1448,SRI RAMANA MAHARISHI COLLEGE OF ENGINEERING
1515,SARASWATHI VELU COLLEGE OF ENGINEERING
2368,VISHNU LAKSHMI COLLEGE OF ENGINEERING AND TECHNOLOGY
2662,DR.NAGARATHINAM'S COLLEGE OF ENGINEERING
4956,JAYAMATHA ENGINEERING COLLEGE
1102,BHAJARANG ENGINEERING COLLEGE
1107,JAYA INSTITUTE OF TECHNOLOGY
1235,J E I MATHAAJEE COLLEGE OF ENGINEERING
1506,G.G.R. COLLEGE OF ENGINEERING
1529,OXFORD COLLEGE OF ENGINEERING
2337,VIDHYA MANDHIR INSTITUTE OF TECHNOLOGY
2340,SRI VENKATESHWARA INSTITUTE OF ENGINEERING
2350,JAIRUPAA COLLEGE OF ENGINEERING
2655,V K S COLLEGE OF ENGINEERING AND TECHNOLOGY
2663,S R S COLLEGE OF ENGINEERING AND TECHNOLOGY
3451,SMR EAST COAST COLLEGE OF ENGINEERING AND TECHNOLOGY
3923,MNSK COLLEGE OF ENGINEERING
4932,IMMANUEL ARASAR J J COLLEGE OF ENGINEERING
4950,TAMIZHAN COLLEGE OF ENGINEERING AND TECHNOLOGY
4985,KALAIVANAR  N S K COLLEGE OF ENGINEERING
5537,JAINEE COLLEGE OF ENGINEERING AND TECHNOLOGY
1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS"
2,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - ACT CAMPUS"
4,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - MIT CAMPUS"
1013,"UNIVERSITY COLLEGE OF ENGINEERING, VILLUPURAM"
1014,"UNIVERSITY COLLEGE OF ENGINEERING, TINDIVANAM"
1015,"UNIVERSITY COLLEGE OF ENGINEERING, ARNI"
1026,"UNIVERSITY COLLEGE OF ENGINEERING, KANCHIPURAM"
1101,AALIM MUHAMMED SALEGH COLLEGE OF ENGINEERING
1106,JAYA ENGINEERING COLLEGE
1110,PRATHYUSHA ENGINEERING COLLEGE
1112,R.M.D. ENGINEERING COLLEGE
1113,R.M.K. ENGINEERING COLLEGE
1114,S.A. ENGINEERING COLLEGE
1115,SRIRAM ENGINEERING COLLEGE
1116,SRI VENKATESWARA COLLEGE OF ENGINEERING AND TECHNOLOGY
1118,VEL TECH MULTI TECH DR.RANGARAJAN DR.SAKUNTHALA ENGINEERING COLLEGE
1120,VELAMMAL ENGINEERING COLLEGE
1121,SRI VENKATESWARA INSTITUTE OF SCIENCE AND TECHNOLOGY
1122,VEL TECH HIGH TECH DR.RANGARAJAN DR.SAKUNTHALA ENGINEERING COLLEGE
1123,GOJAN SCHOOL OF BUSINESS AND TECHNOLOGY
1124,SAMS COLLEGE OF ENGINEERING AND TECHNOLOGY
1125,PMR ENGINEERING COLLEGE
1126,JNN INSTITUTE OF ENGINEERING
1127,St. PETER'S COLLEGE OF ENGINEERING AND TECHNOLOGY
1128,R.M.K. COLLEGE OF ENGINEERING AND TECHNOLOGY
1131,VEL TECH
1133,ANNAI VEILANKANNI'S COLLEGE OF ENGINEERING
1137,ANNAI MIRA COLLEGE OF ENGINEERING AND TECHNOLOGY
1140,JEPPIAAR INSTITUTE OF TECHNOLOGY
1141,R.V.S. PADHMAVATHY COLLEGE OF ENGINEERING & TECHNOLOGY
1143,KUMARAN INSTITUTE OF TECHNOLOGY
1149,St. JOSEPH'S INSTITUTE OF TECHNOLOGY
1150,SRI JAYARAM INSTITUTE OF ENGINEERING AND TECHNOLOGY
1157,SHRI SITHESWARAR ENGINEERING COLLEGE
1201,ARIGNAR ANNA INSTITUTE OF SCIENCE AND TECHNOLOGY
1202,D M I COLLEGE OF ENGINEERING
1205,LORD VENKATESHWARAA ENGINEERING COLLEGE
1206,JEPPIAAR MAAMALLAN ENGINEERING COLLEGE
1207,KINGS ENGINEERING COLLEGE
1208,KANCHI PALLAVAN ENGINEERING COLLEGE
1209,PALLAVAN COLLEGE OF ENGINEERING
1210,PANIMALAR ENGINEERING COLLEGE
1211,RAJALAKSHMI ENGINEERING COLLEGE (AUTONOMOUS)
1212,RAJIV GANDHI COLLEGE OF ENGINEERING
1213,S.K.R. ENGINEERING COLLEGE
1214,SAKTHI MARIAMMAN ENGINEERING COLLEGE
1216,SAVEETHA ENGINEERING COLLEGE
1217,SREE SASTHA INSTITUTE OF ENGINEERING AND TECHNOLOGY
1218,SRI MUTHUKUMARAN INSTITUTE OF TECHNOLOGY
1219,SRI VENKATESWARA COLLEGE OF ENGINEERING (AUTONOMOUS)
1221,JAYA COLLEGE OF ENGINEERING AND TECHNOLOGY
1222,P.B. COLLEGE OF ENGINEERING
1225,LOYOLA INSTITUTE OF TECHNOLOGY
1226,P.T. LEE CHENGALVARAYA NAICKER COLLEGE OF ENGINEERING AND TECHNOLOGY
1228,ALPHA COLLEGE OF ENGINEERING
1229,INDIRA INSTITUTE OF ENGINEERING AND TECHNOLOGY
1230,APOLLO ENGINEERING COLLEGE
1231,PANIMALAR INSTITUTE OF TECHNOLOGY
1232,ARM COLLEGE OF ENGINEERING AND TECHNOLOGY
1233,ADHI COLLEGE OF ENGINEERING AND TECHNOLOGY
1234,INDIRA GANDHI COLLEGE OF ENGINEERING AND TECHNOLOGY FOR WOMEN
1237,VELAMMAL INSTITUTE OF TECHNOLOGY
1238,GRT INSTITUTE OF ENGINEERING AND TECHNOLOGY
1241,T.J.S. ENGINEERING COLLEGE
1242,SREE SASTHA COLLEGE OF ENGINEERING
1243,MADHA INSTITUTE OF ENGINEERING AND TECHNOLOGY
1301,MOHAMED SATHAK A.J.COLLEGE OF ENGINEERING
1303,ANAND INSTITUTE OF HIGHER TECHNOLOGY
1304,EASWARI ENGINEERING COLLEGE
1306,JEPPIAAR ENGINEERING COLLEGE
1307,JERUSALEM COLLEGE OF ENGINEERING
1309,MEENAKSHI SUNDARARAJAN ENGINEERING COLLEGE
1310,MISRIMAL NAVAJEE MUNOTH JAIN ENGINEERING COLLEGE
1311,K.C.G. COLLEGE OF TECHNOLOGY
1313,SMK FOMRA INSTITUTE OF TECHNOLOGY
1315,SRI SIVASUBRAMANIYA NADAR COLLEGE OF ENGINEERING (AUTONOMOUS)
1316,AGNI COLLEGE OF TECHNOLOGY
1317,St.JOSEPH'S COLLEGE OF ENGINEERING
1318,T.J. INSTITUTE OF TECHNOLOGY
1319,THANGAVELU ENGINEERING COLLEGE
1320,JEPPIAAR SRR ENGINEERING COLLEGE
1321,CENTRAL INSTITUTE OF PLASTICS ENGINEERING AND TECHNOLOGY
1322,DHANALAKSHMI SRINIVASAN COLLEGE OF ENGINEERING AND TECHNOLOGY
1323,A.C.T. COLLEGE OF ENGINEERING AND TECHNOLOGY
1324,SRI SAI RAM INSTITUTE OF TECHNOLOGY
1325,St. JOSEPH COLLEGE OF ENGINEERING
1333,VI INSTITUTE OF TECHNOLOGY
1334,ARS COLLEGE OF ENGINEERING
1335,SRI KRISHNA INSTITUTE OF TECHNOLOGY
1399,CHENNAI INSTITUTE OF TECHNOLOGY
1401,ADHIPARASAKTHI ENGINEERING COLLEGE
1402,ANNAI TERESA COLLEGE OF ENGINEERING
1405,DHANALAKSHMI COLLEGE OF ENGINEERING
1406,DR. PAULS ENGINEERING COLLEGE
1407,G.K.M. COLLEGE OF ENGINEERING AND TECHNOLOGY
1408,IFET COLLEGE OF ENGINEERING
1409,KARPAGA VINAYAGA COLLEGE OF ENGINEERING AND TECHNOLOGY
1411,MADHA ENGINEERING COLLEGE
1412,MAILAM ENGINEERING COLLEGE
1413,SRI VENKATESWARAA COLLEGE OF TECHNOLOGY
1414,PRINCE SHRI VENKATESHWARA PADMAVATHY ENGINEERING COLLEGE
1415,T.S.M. JAIN COLLEGE OF TECHNOLOGY
1416,JAYA SAKTHI ENGINEERING COLLEGE
1417,SHRI ANDAL ALAGAR COLLEGE OF ENGINEERING
1418,SRI LAKSHMI AMMAL ENGINEERING COLLEGE
1419,SRI SAIRAM ENGINEERING COLLEGE
1420,TAGORE ENGINEERING COLLEGE
1421,V.R.S. COLLEGE OF ENGINEERING AND TECHNOLOGY
1422,VALLIAMMAI ENGINEERING COLLEGE
1423,ASAN MEMORIAL COLLEGE OF ENGINEERING AND TECHNOLOGY
1424,DHAANISH AHMED COLLEGE OF ENGINEERING
1426,SRI RAMANUJAR ENGINEERING COLLEGE
1427,SRI KRISHNA ENGINEERING COLLEGE
1428,E.S ENGINEERING COLLEGE
1430,MAHA BARATHI ENGINEERING COLLEGE
1431,NEW PRINCE SHRI BHAVANI COLLEGE OF ENGINEERING AND TECHNOLOGY
1432,RAJALAKSHMI INSTITUTE OF TECHNOLOGY
1433,SRI ARAVINDAR ENGINEERING COLLEGE
1434,SURYA GROUP OF INSTITUTIONS
1435,BALAJI INSTITUTE OF ENGINEERING AND TECHNOLOGY
1436,A.R. ENGINEERING COLLEGE
1437,RRASE COLLEGE OF ENGINEERING
1438,SREE KRISHNA COLLEGE OF ENGINEERING
1439,S.R.I COLLEGE OF ENGINEERING AND TECHNOLOGY
